airline,year,CASM_Pilot,CASM_Maintenance,CASM_Pilot2,CASM_Maintenance2,CASM_Pilot_CASM_Maintenance,arr_flights,pc_delay,CASM_Pilot_change,CASM_Maintenance_change,pc_delay_change
aa,2006,1.0964694361359086,1.1359950957111862,1.2022452243801973,1.290484857479867,1.2455839020476018,643597.0,0.05423518133241764,-0.015955539547022113,0.0506119959706639,0.056220047231731796
aa,2007,1.1075865541078955,1.154670087014445,1.2267479748406023,1.3332630098459461,1.2788970628077931,633857.0,0.06662816692093013,0.010139013095672667,0.01643932387891822,0.22850454786079788
aa,2008,1.115502291327287,1.3368195465412245,1.2443453619564273,1.787086500014685,1.4912252672578405,604885.0,0.07365352091719914,0.007146833978828093,0.15775021937023714,0.10544120183594763
aa,2009,1.1596408087484018,1.4671693825130905,1.3447668053146473,2.1525859969838432,1.7013894893083736,551597.0,0.0660782600340466,0.0395682893386049,0.09750742821581437,-0.10284994917851387
aa,2010,1.1570498543739784,1.5169355524938766,1.3387643655068446,2.3010934704199024,1.7551700601077505,540963.0,0.05983825141460691,-0.002234273194662517,0.03391985313620882,-0.09443360972617232
aa,2011,1.1786456068272733,1.5132992267742045,1.3892054664932312,2.2900745497554054,1.7836434854525256,538179.0,0.0656580059794232,0.01866449606441467,-0.002397152412766612,0.09725809874510549
aa,2012,1.0692008031487672,1.5049021271323033,1.1431903574539688,2.264730412247331,1.6090425629901468,525220.0,0.06775996725181828,-0.09285641336509465,-0.005548869313705129,0.03201378477826178
aa,2013,1.0759209440949906,1.4571705922545122,1.157605877942256,2.123346134931366,1.5678003593259313,538547.0856978628,0.05820089321709391,0.006285200054501283,-0.031717368204367546,-0.1410725893535295
aa,2014,1.1822615464894837,1.5112002147787358,1.3977423643077056,2.2837260891472972,1.786633902979548,538353.0856978628,0.06371768331672555,0.09883681787042575,0.03707844696524498,0.09478875313912405
aa,2015,1.5028433102442653,1.4186904817137886,2.258538015145941,2.0126826829053015,2.1320694997507816,725984.0,0.05845350586238815,0.2711597655414679,-0.061216066647060474,-0.08261721362608887
aa,2016,1.5982108298222386,1.431634836906464,2.5542778565610886,2.049578306244198,2.288054300694705,914495.0,0.058541457307038317,0.0634580590856626,0.009124157354632123,0.0015046393428859162
aa,2017,1.7398072195478405,1.5169868414098635,3.0269291611907874,2.301249077010674,2.639264658643955,896348.0,0.05324336083753185,0.08859681531588093,0.05961855796121296,-0.0905016156621965
aa,2018,1.7949259076843094,1.5368423644624754,3.221759014076342,2.361884453206612,2.758518176000509,916818.0,0.060309570710871736,0.03168091701033049,0.01308879056205825,0.13271532379223583
aa,2019,1.8722437144456983,1.6729279855991066,3.5052965262814255,2.798688045000685,3.132128905758231,946776.0,0.0630392405384167,0.04307576509447064,0.08854884813396491,0.045260972601366856
aa,2020,3.415988913729052,2.785114971944844,11.668980258719788,7.756865406951328,9.513921867624386,569806.0,0.0390268617740073,0.8245428666002488,0.6648146219799427,-0.38091161250231165
alaska,2006,1.1686913047039376,1.111988744930899,1.3658393656905918,1.2365189688529958,1.2995715771293863,159404.0,0.07484724348197035,-0.09994818544737072,0.10536604536041705,-0.30797225452983135
alaska,2007,1.1597775569130346,1.024544242527392,1.3450839815191673,1.0496909048960277,1.1882434185477344,160185.0,0.07790879295814214,-0.007627119116079162,-0.07863793838033928,0.040903970991386984
alaska,2008,1.0632660991688394,1.0909148737955345,1.1305347976417202,1.1900952618683271,1.1599328023858448,151102.0,0.05496551997988114,-0.0832154900471419,0.06478063954018842,-0.29448887740550256
alaska,2009,1.4286856749173662,1.2266971429212477,2.0411427577140904,1.5047858804511518,1.7525646355536475,137322.0,0.042392114883267065,0.34367650396657723,0.12446642023799392,-0.22875077141481204
alaska,2010,1.2042820837375876,1.0741132050524642,1.450295337211346,1.153719177268077,1.2935352887506404,136950.0,0.03155684556407448,-0.1570699525581496,-0.12438598944269252,-0.2555963378809737
alaska,2011,1.2080344455062013,0.9691529337559269,1.4593472215294754,0.93925740900772,1.1707701269405495,143726.0,0.030576791951351878,0.0031158495333318825,-0.09771807180362391,-0.031056767405115204
alaska,2012,1.2056835076270926,0.9439557178117323,1.4536727205639695,0.8910523971894627,1.1381118408958995,147569.0,0.031101315316902602,-0.001946085136772413,-0.025999215465967285,0.017154296840075522
alaska,2013,1.2175865899360352,0.9448601867110851,1.4825171039920626,0.8927607724317066,1.1504490927038755,154743.0,0.02953154585344733,0.009872476677041941,0.000958168780893276,-0.05047276770967146
alaska,2014,1.249727987119518,0.8686430087384092,1.561820041789802,0.7545406766301159,1.0855674788360938,160257.0,0.03176279351291987,0.026397627445265526,-0.08066503282139159,0.07555471936840985
alaska,2015,1.212111819289331,0.8327997982947974,1.4692150624608917,0.6935555040398553,1.009446478614895,172521.0,0.0348331507468656,-0.03009948422207298,-0.041263453551153684,0.09666521405608819
alaska,2016,1.1846320399163024,0.7896634411219816,1.40335306999626,0.6235683502446093,0.93546061310366,177280.0,0.02899385153429603,-0.022670993662235017,-0.051796791090895855,-0.16763626279471744
alaska,2017,1.2852419784799598,0.8809049663541293,1.6518469432470815,0.7759935597473696,1.1321760418098035,185068.0,0.03690292216914864,0.08492927354114599,0.11554482641681951,0.2727844082907436
alaska,2018,1.4253049798479769,0.9523169779044429,2.031494285579442,0.9069076264050512,1.3573421310009783,245761.0,0.036860730547157605,0.10897792300066933,0.08106664654857387,-0.0011433138491754313
alaska,2019,1.479786104876824,1.0006831079916083,2.1897669161865227,1.001366682619745,1.4807969585909362,264816.0,0.0413660428372908,0.0382241876644942,0.050787848173823535,0.12222525769990766
